word,article,translation,short_definition,part_of_speech,example_de,example_translation,tags,difficulty
Strasse,die,street,A public road in a town.,noun,Die Strasse ist voll.,The street is full.,places,1
Weg,der,way,A route or direction.,noun,Das ist der richtige Weg.,That is the right way.,places,1
Bahnhof,der,station,A place where trains stop.,noun,Der Bahnhof ist nah.,The station is near.,transport,1
Zug,der,train,A vehicle that runs on rails.,noun,Der Zug kommt gleich.,The train arrives soon.,transport,1
Bus,der,bus,A large road vehicle for many people.,noun,Der Bus ist spaet.,The bus is late.,transport,1
Fahrrad,das,bicycle,A vehicle with two wheels.,noun,Mein Fahrrad ist blau.,My bicycle is blue.,transport,1
Flugzeug,das,airplane,A vehicle that flies in the sky.,noun,Das Flugzeug landet jetzt.,The airplane is landing now.,transport,2
Zimmer,das,room,A part of a building inside walls.,noun,Mein Zimmer ist klein.,My room is small.,home,1
Tuer,die,door,A movable barrier for an entrance.,noun,Die Tuer ist zu.,The door is closed.,home,1
Tisch,der,table,A piece of furniture with a flat top.,noun,Das Buch liegt auf dem Tisch.,The book lies on the table.,home,1
Stuhl,der,chair,A seat for one person.,noun,Der Stuhl ist bequem.,The chair is comfortable.,home,1
Bett,das,bed,A piece of furniture for sleeping.,noun,Das Bett ist weich.,The bed is soft.,home,1
Kueche,die,kitchen,A room where food is prepared.,noun,Die Kueche ist sauber.,The kitchen is clean.,home,1
Garten,der,garden,A piece of ground for plants.,noun,Der Garten ist schoen.,The garden is beautiful.,home,1
Licht,das,light,Brightness that lets you see.,noun,Das Licht ist an.,The light is on.,home,1
Feuer,das,fire,Heat and flames from burning.,noun,Das Feuer ist warm.,The fire is warm.,nature,2
Sonne,die,sun,The star of our solar system.,noun,Die Sonne scheint.,The sun is shining.,nature,1
Regen,der,rain,Water falling from clouds.,noun,Heute gibt es Regen.,Today there is rain.,nature,1
Schnee,der,snow,White frozen water from the sky.,noun,Der Schnee ist tief.,The snow is deep.,nature,1
Wind,der,wind,Moving air outside.,noun,Der Wind ist stark.,The wind is strong.,nature,1
warm,,warm,Having moderate heat.,adjective,Der Tee ist warm.,The tea is warm.,descriptions,1
kalt,,cold,Having low temperature.,adjective,Das Wasser ist kalt.,The water is cold.,descriptions,1
gross,,big,Large in size.,adjective,Das Haus ist gross.,The house is big.,descriptions,1
klein,,small,Little in size.,adjective,Der Hund ist klein.,The dog is small.,descriptions,1
neu,,new,Recently made or bought.,adjective,Mein Auto ist neu.,My car is new.,descriptions,1
alt,,old,Having existed a long time.,adjective,Die Stadt ist alt.,The city is old.,descriptions,1
gut,,good,Of high quality.,adjective,Das Essen ist gut.,The food is good.,descriptions,1
schlecht,,bad,Of low quality.,adjective,Das Wetter ist schlecht.,The weather is bad.,descriptions,1
schoen,,beautiful,Pleasing to look at.,adjective,Der Garten ist schoen.,The garden is beautiful.,descriptions,1
einfach,,easy,Not difficult to do.,adjective,Die Aufgabe ist einfach.,The task is easy.,descriptions,1
schwer,,difficult,Hard to do or carry.,adjective,Die Frage ist schwer.,The question is difficult.,descriptions,1
lang,,long,Having great length or duration.,adjective,Der Film ist lang.,The movie is long.,descriptions,1
kurz,,short,Having little length or duration.,adjective,Der Text ist kurz.,The text is short.,descriptions,1
frueh,,early,Happening before the usual time.,adjective,Ich stehe frueh auf.,I get up early.,time,2
spaet,,late,Happening after the usual time.,adjective,Es ist schon spaet.,It is already late.,time,2
immer,,always,At all times.,adverb,Er kommt immer puenktlich.,He always arrives on time.,frequency,1
nie,,never,At no time.,adverb,Ich trinke nie Cola.,I never drink cola.,frequency,1
oft,,often,Many times.,adverb,Wir gehen oft spazieren.,We often go for a walk.,frequency,1
manchmal,,sometimes,On some occasions.,adverb,Manchmal koche ich Pasta.,Sometimes I cook pasta.,frequency,1
